支付方式,商品类别,共现次数,支持度,置信度,提升度
微信支付,模型,1517932,0.01124,0.07871,1.001
云闪付,模型,1517449,0.01124,0.07869,1.001
储蓄卡,模型,1516621,0.01123,0.07863,1.0
银联,模型,1516743,0.01124,0.07863,1.0
支付宝,模型,1515893,0.01123,0.07861,1.0
现金,模型,1515595,0.01123,0.07858,0.999
信用卡,模型,1514598,0.01122,0.07854,0.999
现金,围巾,1510761,0.01119,0.07833,1.001
银联,围巾,1510563,0.01119,0.07831,1.0
信用卡,围巾,1509717,0.01118,0.07829,1.0
微信支付,围巾,1509774,0.01118,0.07829,1.0
储蓄卡,围巾,1509937,0.01118,0.07828,1.0
云闪付,围巾,1509517,0.01118,0.07827,1.0
支付宝,围巾,1508548,0.01117,0.07823,0.999
储蓄卡,文具,1507609,0.01117,0.07816,1.002
现金,文具,1506302,0.01116,0.0781,1.001
信用卡,文具,1505113,0.01115,0.07805,1.0
银联,文具,1505538,0.01115,0.07805,1.0
支付宝,文具,1503058,0.01113,0.07795,0.999
云闪付,文具,1503299,0.01114,0.07795,0.999
微信支付,文具,1502110,0.01113,0.07789,0.998
现金,卫浴用品,1477715,0.01095,0.07662,1.001
信用卡,卫浴用品,1476051,0.01093,0.07655,1.0
银联,卫浴用品,1475713,0.01093,0.07651,1.0
支付宝,卫浴用品,1475244,0.01093,0.07651,1.0
微信支付,卫浴用品,1475030,0.01093,0.07649,1.0
云闪付,卫浴用品,1474736,0.01092,0.07647,0.999
储蓄卡,卫浴用品,1474456,0.01092,0.07644,0.999
储蓄卡,水果,1471386,0.0109,0.07628,1.001
现金,水果,1470882,0.0109,0.07626,1.001
信用卡,水果,1470115,0.01089,0.07624,1.0
微信支付,水果,1469913,0.01089,0.07622,1.0
支付宝,水果,1469402,0.01088,0.0762,1.0
银联,水果,1468547,0.01088,0.07614,0.999
云闪付,水果,1467563,0.01087,0.0761,0.999
支付宝,饮料,1459121,0.01081,0.07567,1.001
信用卡,饮料,1458951,0.01081,0.07566,1.001
储蓄卡,饮料,1458036,0.0108,0.07559,1.0
银联,饮料,1456886,0.01079,0.07553,1.0
云闪付,饮料,1456340,0.01079,0.07552,0.999
微信支付,饮料,1455395,0.01078,0.07547,0.999
现金,饮料,1455440,0.01078,0.07546,0.999
信用卡,智能手机,1454026,0.01077,0.0754,1.002
支付宝,智能手机,1452439,0.01076,0.07532,1.0
储蓄卡,智能手机,1452457,0.01076,0.0753,1.0
银联,智能手机,1452326,0.01076,0.07529,1.0
微信支付,智能手机,1451497,0.01075,0.07527,1.0
云闪付,智能手机,1451298,0.01075,0.07525,1.0
现金,智能手机,1449883,0.01074,0.07517,0.998
储蓄卡,裙子,1441396,0.01068,0.07473,1.001
微信支付,裙子,1439706,0.01066,0.07466,1.0
现金,裙子,1440090,0.01067,0.07466,1.0
支付宝,裙子,1439459,0.01066,0.07465,1.0
信用卡,裙子,1439374,0.01066,0.07464,1.0
云闪付,裙子,1438859,0.01066,0.07461,0.999
银联,裙子,1439078,0.01066,0.07461,0.999
支付宝,零食,1436515,0.01064,0.0745,1.001
云闪付,零食,1436785,0.01064,0.0745,1.001
银联,零食,1436107,0.01064,0.07445,1.0
微信支付,零食,1435256,0.01063,0.07443,1.0
现金,零食,1435419,0.01063,0.07442,1.0
储蓄卡,零食,1434868,0.01063,0.07439,0.999
信用卡,零食,1433887,0.01062,0.07436,0.999
支付宝,耳机,1423998,0.01055,0.07385,1.001
云闪付,耳机,1424002,0.01055,0.07384,1.001
微信支付,耳机,1423789,0.01055,0.07383,1.001
现金,耳机,1424004,0.01055,0.07383,1.001
银联,耳机,1422716,0.01054,0.07376,1.0
储蓄卡,耳机,1422470,0.01054,0.07375,0.999
信用卡,耳机,1421006,0.01053,0.07369,0.999
现金,游戏机,1418688,0.01051,0.07356,1.001
云闪付,游戏机,1418294,0.01051,0.07354,1.001
现金,裤子,1418119,0.0105,0.07353,1.0
银联,游戏机,1418343,0.01051,0.07353,1.0
微信支付,游戏机,1417676,0.0105,0.07352,1.0
支付宝,裤子,1417543,0.0105,0.07351,1.0
微信支付,裤子,1417515,0.0105,0.07351,1.0
信用卡,游戏机,1417434,0.0105,0.07351,1.0
储蓄卡,裤子,1417793,0.0105,0.0735,1.0
信用卡,裤子,1417277,0.0105,0.0735,1.0
云闪付,裤子,1417313,0.0105,0.07349,1.0
银联,裤子,1417214,0.0105,0.07347,1.0
储蓄卡,游戏机,1416388,0.01049,0.07343,0.999
支付宝,游戏机,1415572,0.01049,0.07341,0.999
支付宝,益智玩具,1414440,0.01048,0.07335,1.002
微信支付,益智玩具,1413954,0.01047,0.07332,1.001
储蓄卡,益智玩具,1412859,0.01047,0.07325,1.0
信用卡,益智玩具,1411740,0.01046,0.07321,1.0
云闪付,益智玩具,1411726,0.01046,0.0732,1.0
银联,益智玩具,1411258,0.01045,0.07317,0.999
现金,益智玩具,1411185,0.01045,0.07317,0.999
微信支付,健身器材,1408434,0.01043,0.07304,1.002
现金,笔记本电脑,1407598,0.01043,0.07298,1.001
支付宝,健身器材,1406935,0.01042,0.07296,1.001
银联,健身器材,1407382,0.01043,0.07296,1.001
银联,笔记本电脑,1407042,0.01042,0.07295,1.0
微信支付,笔记本电脑,1406495,0.01042,0.07294,1.0
信用卡,笔记本电脑,1406280,0.01042,0.07293,1.0
支付宝,笔记本电脑,1406004,0.01041,0.07291,1.0
储蓄卡,笔记本电脑,1406127,0.01042,0.0729,1.0
信用卡,健身器材,1405513,0.01041,0.07289,1.0
云闪付,健身器材,1405735,0.01041,0.07289,1.0
现金,健身器材,1405351,0.01041,0.07286,0.999
储蓄卡,健身器材,1404381,0.0104,0.07281,0.999
云闪付,笔记本电脑,1403775,0.0104,0.07279,0.998
支付宝,智能手表,1400810,0.01038,0.07265,1.001
储蓄卡,智能手表,1401382,0.01038,0.07265,1.001
现金,智能手表,1400635,0.01038,0.07262,1.0
信用卡,智能手表,1400276,0.01037,0.07262,1.0
微信支付,智能手表,1399665,0.01037,0.07258,1.0
云闪付,智能手表,1399342,0.01037,0.07256,0.999
银联,智能手表,1398698,0.01036,0.07251,0.999
储蓄卡,内衣,1396126,0.01034,0.07238,1.001
云闪付,儿童课外读物,1395400,0.01034,0.07236,1.001
信用卡,内衣,1395414,0.01034,0.07236,1.001
现金,儿童课外读物,1395441,0.01034,0.07235,1.001
支付宝,儿童课外读物,1394586,0.01033,0.07232,1.0
信用卡,儿童课外读物,1394250,0.01033,0.0723,1.0
现金,内衣,1394214,0.01033,0.07229,1.0
云闪付,内衣,1393687,0.01032,0.07227,1.0
银联,儿童课外读物,1393852,0.01032,0.07226,1.0
银联,内衣,1393686,0.01032,0.07225,1.0
微信支付,儿童课外读物,1393296,0.01032,0.07225,0.999
微信支付,内衣,1392687,0.01032,0.07222,0.999
储蓄卡,儿童课外读物,1392594,0.01032,0.0722,0.999
支付宝,内衣,1391725,0.01031,0.07217,0.999
微信支付,外套,1388997,0.01029,0.07203,1.001
储蓄卡,外套,1389255,0.01029,0.07202,1.0
信用卡,外套,1388566,0.01029,0.07201,1.0
现金,外套,1388604,0.01029,0.072,1.0
银联,外套,1388426,0.01028,0.07198,1.0
云闪付,外套,1387658,0.01028,0.07196,0.999
支付宝,外套,1387297,0.01028,0.07194,0.999
银联,婴儿用品,1378148,0.01021,0.07145,1.001
微信支付,婴儿用品,1377580,0.0102,0.07144,1.001
云闪付,婴儿用品,1377300,0.0102,0.07142,1.0
信用卡,婴儿用品,1376941,0.0102,0.07141,1.0
支付宝,婴儿用品,1375957,0.01019,0.07136,0.999
现金,婴儿用品,1376304,0.01019,0.07136,0.999
储蓄卡,婴儿用品,1376307,0.01019,0.07135,0.999
信用卡,帽子,1373268,0.01017,0.07122,1.001
云闪付,帽子,1373013,0.01017,0.0712,1.001
银联,帽子,1372898,0.01017,0.07118,1.001
信用卡,肉类,1372395,0.01017,0.07117,1.001
银联,车载电子,1372740,0.01017,0.07117,1.001
银联,相机,1372437,0.01017,0.07115,1.001
支付宝,帽子,1371927,0.01016,0.07115,1.0
储蓄卡,帽子,1372376,0.01017,0.07115,1.0
支付宝,相机,1371699,0.01016,0.07114,1.001
信用卡,平板电脑,1371873,0.01016,0.07114,1.001
储蓄卡,肉类,1372143,0.01016,0.07114,1.001
信用卡,车载电子,1371876,0.01016,0.07114,1.001
银联,肉类,1371739,0.01016,0.07112,1.0
银联,平板电脑,1371839,0.01016,0.07112,1.0
现金,平板电脑,1371254,0.01016,0.0711,1.0
微信支付,平板电脑,1371060,0.01016,0.0711,1.0
支付宝,肉类,1371015,0.01016,0.0711,1.0
微信支付,相机,1371106,0.01016,0.0711,1.0
云闪付,肉类,1370990,0.01016,0.07109,1.0
储蓄卡,平板电脑,1371185,0.01016,0.07109,1.0
储蓄卡,车载电子,1371213,0.01016,0.07109,1.0
云闪付,相机,1371006,0.01016,0.07109,1.0
现金,相机,1370982,0.01016,0.07108,1.0
现金,帽子,1370675,0.01015,0.07107,0.999
云闪付,车载电子,1370512,0.01015,0.07107,1.0
支付宝,平板电脑,1370514,0.01015,0.07107,1.0
微信支付,车载电子,1370595,0.01015,0.07107,1.0
现金,肉类,1370749,0.01015,0.07107,1.0
信用卡,相机,1370018,0.01015,0.07105,0.999
云闪付,平板电脑,1370100,0.01015,0.07104,0.999
微信支付,帽子,1369834,0.01015,0.07103,0.999
支付宝,车载电子,1369670,0.01015,0.07103,0.999
现金,车载电子,1370078,0.01015,0.07103,0.999
微信支付,肉类,1369553,0.01014,0.07102,0.999
储蓄卡,相机,1369558,0.01014,0.071,0.999
信用卡,家具,1366572,0.01012,0.07087,1.001
云闪付,家具,1366479,0.01012,0.07086,1.001
银联,家具,1366325,0.01012,0.07084,1.0
储蓄卡,家具,1366239,0.01012,0.07083,1.0
微信支付,家具,1365421,0.01011,0.07081,1.0
支付宝,家具,1365278,0.01011,0.0708,1.0
现金,家具,1364512,0.01011,0.07075,0.999
银联,米面,1350128,0.01,0.07,1.001
信用卡,米面,1349130,0.00999,0.06996,1.001
微信支付,米面,1349058,0.00999,0.06996,1.001
云闪付,米面,1348795,0.00999,0.06994,1.0
储蓄卡,米面,1347979,0.00999,0.06988,1.0
现金,米面,1347037,0.00998,0.06984,0.999
支付宝,米面,1345159,0.00996,0.06976,0.998
微信支付,手套,1344112,0.00996,0.0697,1.001
支付宝,手套,1343442,0.00995,0.06967,1.001
储蓄卡,手套,1343573,0.00995,0.06966,1.001
银联,手套,1343278,0.00995,0.06964,1.0
云闪付,蔬菜,1342542,0.00994,0.06962,1.001
银联,蔬菜,1342442,0.00994,0.0696,1.0
现金,手套,1342116,0.00994,0.06959,1.0
微信支付,蔬菜,1341822,0.00994,0.06958,1.0
支付宝,蔬菜,1341582,0.00994,0.06957,1.0
云闪付,手套,1340977,0.00993,0.06953,0.999
信用卡,蔬菜,1340795,0.00993,0.06953,1.0
储蓄卡,蔬菜,1341189,0.00993,0.06953,1.0
信用卡,手套,1340590,0.00993,0.06952,0.999
现金,蔬菜,1340800,0.00993,0.06952,0.999
云闪付,床上用品,1333159,0.00988,0.06913,1.002
微信支付,蛋奶,1332733,0.00987,0.06911,1.002
储蓄卡,床上用品,1332269,0.00987,0.06907,1.001
银联,蛋奶,1332085,0.00987,0.06906,1.001
信用卡,玩具,1331045,0.00986,0.06903,1.001
信用卡,床上用品,1331008,0.00986,0.06902,1.0
储蓄卡,蛋奶,1331068,0.00986,0.06901,1.0
信用卡,蛋奶,1330491,0.00986,0.069,1.0
微信支付,床上用品,1330426,0.00986,0.06899,1.0
银联,床上用品,1330570,0.00986,0.06898,1.0
储蓄卡,玩具,1330348,0.00985,0.06897,1.0
支付宝,床上用品,1329937,0.00985,0.06897,0.999
微信支付,玩具,1329609,0.00985,0.06895,1.0
现金,床上用品,1329794,0.00985,0.06895,0.999
现金,玩具,1329881,0.00985,0.06895,1.0
现金,蛋奶,1329941,0.00985,0.06895,0.999
支付宝,蛋奶,1329405,0.00985,0.06894,0.999
支付宝,玩具,1329399,0.00985,0.06894,1.0
云闪付,蛋奶,1329183,0.00985,0.06892,0.999
银联,玩具,1329148,0.00985,0.06891,0.999
云闪付,玩具,1328975,0.00984,0.06891,0.999
云闪付,户外装备,1326844,0.00983,0.0688,1.002
现金,户外装备,1325353,0.00982,0.06872,1.0
支付宝,户外装备,1324744,0.00981,0.0687,1.0
微信支付,户外装备,1324611,0.00981,0.06869,1.0
信用卡,户外装备,1324282,0.00981,0.06868,1.0
储蓄卡,户外装备,1324064,0.00981,0.06864,0.999
银联,户外装备,1322763,0.0098,0.06858,0.998
支付宝,汽车装饰,1320552,0.00978,0.06848,1.001
银联,汽车装饰,1320563,0.00978,0.06846,1.001
微信支付,厨具,1319838,0.00978,0.06844,1.001
微信支付,汽车装饰,1319764,0.00978,0.06844,1.0
现金,厨具,1319718,0.00978,0.06842,1.001
储蓄卡,汽车装饰,1319601,0.00977,0.06841,1.0
储蓄卡,厨具,1319574,0.00977,0.06841,1.0
现金,汽车装饰,1319339,0.00977,0.0684,1.0
云闪付,厨具,1318891,0.00977,0.06839,1.0
银联,厨具,1319103,0.00977,0.06839,1.0
云闪付,汽车装饰,1318194,0.00976,0.06835,0.999
支付宝,厨具,1317744,0.00976,0.06834,0.999
信用卡,厨具,1317687,0.00976,0.06833,0.999
信用卡,汽车装饰,1316914,0.00975,0.06829,0.998
云闪付,上衣,1316153,0.00975,0.06825,1.002
银联,上衣,1313690,0.00973,0.06811,1.0
储蓄卡,上衣,1313330,0.00973,0.06809,1.0
现金,上衣,1313052,0.00973,0.06808,1.0
支付宝,上衣,1312613,0.00972,0.06807,1.0
信用卡,上衣,1312056,0.00972,0.06804,0.999
微信支付,上衣,1311637,0.00972,0.06802,0.999
银联,办公用品,1309158,0.0097,0.06787,1.001
现金,办公用品,1308936,0.0097,0.06786,1.001
储蓄卡,办公用品,1308973,0.0097,0.06786,1.001
支付宝,办公用品,1307981,0.00969,0.06783,1.0
信用卡,办公用品,1307433,0.00968,0.0678,1.0
云闪付,办公用品,1307097,0.00968,0.06778,0.999
微信支付,办公用品,1305901,0.00967,0.06772,0.999
云闪付,水产,1304293,0.00966,0.06763,1.002
信用卡,水产,1303095,0.00965,0.06758,1.001
储蓄卡,水产,1302858,0.00965,0.06754,1.001
支付宝,水产,1301727,0.00964,0.06751,1.0
微信支付,水产,1301217,0.00964,0.06748,1.0
现金,水产,1300024,0.00963,0.0674,0.998
银联,水产,1299919,0.00963,0.06739,0.998
现金,调味品,1285805,0.00952,0.06667,1.001
信用卡,调味品,1285492,0.00952,0.06666,1.001
云闪付,调味品,1285252,0.00952,0.06664,1.001
支付宝,调味品,1283703,0.00951,0.06657,1.0
储蓄卡,调味品,1283891,0.00951,0.06656,0.999
微信支付,调味品,1283598,0.00951,0.06656,0.999
银联,调味品,1283544,0.00951,0.06654,0.999
微信支付,音响,1256224,0.00931,0.06514,1.001
储蓄卡,音响,1256373,0.00931,0.06514,1.001
现金,鞋子,1256047,0.0093,0.06512,1.001
信用卡,鞋子,1255661,0.0093,0.06512,1.001
云闪付,鞋子,1255317,0.0093,0.06509,1.0
支付宝,鞋子,1255162,0.0093,0.06509,1.0
储蓄卡,鞋子,1255087,0.0093,0.06507,1.0
微信支付,鞋子,1254769,0.00929,0.06507,1.0
云闪付,音响,1254615,0.00929,0.06506,1.0
支付宝,音响,1254589,0.00929,0.06506,1.0
现金,音响,1254413,0.00929,0.06504,1.0
信用卡,音响,1253951,0.00929,0.06503,1.0
银联,鞋子,1254202,0.00929,0.06502,0.999
银联,音响,1252871,0.00928,0.06495,0.998
云闪付,摄像机,1232682,0.00913,0.06392,1.001
微信支付,摄像机,1232277,0.00913,0.0639,1.0
现金,摄像机,1232210,0.00913,0.06389,1.0
信用卡,摄像机,1231555,0.00912,0.06387,1.0
银联,摄像机,1231714,0.00912,0.06386,1.0
支付宝,摄像机,1230984,0.00912,0.06384,0.999
储蓄卡,摄像机,1231293,0.00912,0.06383,0.999
